date,race,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent,population_percent
6/24/2020,Asian,0-17,255,0.025,0,0,0.13
6/24/2020,Asian,18-34,2280,0.057,4,0.069,0.151
6/24/2020,Asian,35-49,2603,0.076,22,0.08,0.179
6/24/2020,Asian,50-64,2647,0.09,85,0.095,0.167
6/24/2020,Asian,65-79,1408,0.105,215,0.121,0.172
6/24/2020,Asian,80+,1090,0.153,503,0.2,0.172
6/24/2020,Asian,Total,10293,0.076,829,0.15,0.157
6/24/2020,Black,0-17,178,0.017,0,0,0.054
6/24/2020,Black,18-34,1436,0.036,6,0.103,0.065
6/24/2020,Black,35-49,1317,0.039,20,0.073,0.059
6/24/2020,Black,50-64,1502,0.051,77,0.086,0.064
6/24/2020,Black,65-79,982,0.073,201,0.113,0.055
6/24/2020,Black,80+,557,0.078,215,0.085,0.048
6/24/2020,Black,Total,5981,0.045,519,0.094,0.06
6/24/2020,Latino,0-17,7059,0.689,0,0,0.479
6/24/2020,Latino,18-34,24742,0.619,39,0.672,0.45
6/24/2020,Latino,35-49,20605,0.605,202,0.737,0.415
6/24/2020,Latino,50-64,15965,0.542,549,0.613,0.322
6/24/2020,Latino,65-79,5519,0.411,777,0.437,0.218
6/24/2020,Latino,80+,2098,0.293,697,0.277,0.196
6/24/2020,Latino,Total,76036,0.566,2265,0.41,0.389
6/24/2020,Other,0-17,2014,0.196,0,0,0.044
6/24/2020,Other,18-34,6595,0.165,2,0.034,0.032
6/24/2020,Other,35-49,4959,0.146,6,0.022,0.021
6/24/2020,Other,50-64,3833,0.131,17,0.019,0.017
6/24/2020,Other,65-79,1299,0.097,34,0.019,0.015
6/24/2020,Other,80+,519,0.072,48,0.019,0.013
6/24/2020,Other,Total,19221,0.143,107,0.019,0.027
6/24/2020,white,0-17,744,0.073,0,0,0.292
6/24/2020,white,18-34,4948,0.124,7,0.121,0.302
6/24/2020,white,35-49,4552,0.134,24,0.088,0.325
6/24/2020,white,50-64,5507,0.187,167,0.187,0.43
6/24/2020,white,65-79,4204,0.313,553,0.311,0.54
6/24/2020,white,80+,2892,0.404,1056,0.419,0.572
6/24/2020,white,Total,22871,0.17,1807,0.327,0.366
6/23/2020,Asian,0-17,247,0.025,0,0,0.13
6/23/2020,Asian,18-34,2236,0.058,4,0.069,0.151
6/23/2020,Asian,35-49,2555,0.077,22,0.082,0.179
6/23/2020,Asian,50-64,2609,0.091,83,0.095,0.167
6/23/2020,Asian,65-79,1387,0.105,207,0.119,0.172
6/23/2020,Asian,80+,1065,0.152,491,0.198,0.172
6/23/2020,Asian,Total,10109,0.077,807,0.149,0.157
6/23/2020,Black,0-17,173,0.017,0,0,0.054
6/23/2020,Black,18-34,1387,0.036,6,0.103,0.065
6/23/2020,Black,35-49,1285,0.039,20,0.074,0.059
6/23/2020,Black,50-64,1484,0.051,75,0.086,0.064
6/23/2020,Black,65-79,963,0.073,197,0.113,0.055
6/23/2020,Black,80+,545,0.077,213,0.086,0.048
6/23/2020,Black,Total,5845,0.045,511,0.094,0.06
6/23/2020,Latino,0-17,6694,0.676,0,0,0.479
6/23/2020,Latino,18-34,23814,0.614,39,0.672,0.45
6/23/2020,Latino,35-49,19873,0.6,198,0.736,0.415
6/23/2020,Latino,50-64,15509,0.538,537,0.612,0.322
6/23/2020,Latino,65-79,5361,0.408,764,0.438,0.218
6/23/2020,Latino,80+,2061,0.293,686,0.277,0.196
6/23/2020,Latino,Total,73357,0.56,2225,0.41,0.389
6/23/2020,Other,0-17,2017,0.203,0,0,0.044
6/23/2020,Other,18-34,6528,0.168,2,0.034,0.032
6/23/2020,Other,35-49,4929,0.149,5,0.019,0.021
6/23/2020,Other,50-64,3827,0.133,18,0.021,0.017
6/23/2020,Other,65-79,1282,0.097,32,0.018,0.015
6/23/2020,Other,80+,513,0.073,48,0.019,0.013
6/23/2020,Other,Total,19099,0.146,105,0.019,0.027
6/23/2020,white,0-17,766,0.077,0,0,0.292
6/23/2020,white,18-34,4840,0.125,7,0.121,0.302
6/23/2020,white,35-49,4465,0.135,24,0.089,0.325
6/23/2020,white,50-64,5412,0.188,164,0.187,0.43
6/23/2020,white,65-79,4141,0.315,545,0.312,0.54
6/23/2020,white,80+,2849,0.405,1043,0.42,0.572
6/23/2020,white,Total,22500,0.172,1783,0.328,0.366
6/22/2020,Asian,0-17,242,0.025,0,0,0.13
6/22/2020,Asian,18-34,2176,0.059,4,0.069,0.151
6/22/2020,Asian,35-49,2513,0.079,22,0.083,0.179
6/22/2020,Asian,50-64,2565,0.091,82,0.094,0.167
6/22/2020,Asian,65-79,1363,0.106,205,0.119,0.172
6/22/2020,Asian,80+,1055,0.152,487,0.198,0.172
6/22/2020,Asian,Total,9925,0.078,800,0.148,0.157
6/22/2020,Black,0-17,161,0.017,0,0,0.054
6/22/2020,Black,18-34,1329,0.036,6,0.103,0.065
6/22/2020,Black,35-49,1224,0.038,20,0.075,0.059
6/22/2020,Black,50-64,1456,0.052,75,0.086,0.064
6/22/2020,Black,65-79,945,0.073,194,0.112,0.055
6/22/2020,Black,80+,538,0.078,211,0.086,0.048
6/22/2020,Black,Total,5661,0.045,506,0.094,0.06
6/22/2020,Latino,0-17,6452,0.678,0,0,0.479
6/22/2020,Latino,18-34,23106,0.618,39,0.672,0.45
6/22/2020,Latino,35-49,19278,0.602,194,0.732,0.415
6/22/2020,Latino,50-64,15189,0.54,531,0.612,0.322
6/22/2020,Latino,65-79,5250,0.408,749,0.434,0.218
6/22/2020,Latino,80+,2028,0.292,678,0.275,0.196
6/22/2020,Latino,Total,71350,0.562,2192,0.407,0.389
6/22/2020,Other,0-17,1929,0.202,0,0,0.044
6/22/2020,Other,18-34,6136,0.165,2,0.034,0.032
6/22/2020,Other,35-49,4689,0.146,5,0.019,0.021
6/22/2020,Other,50-64,3635,0.13,17,0.02,0.017
6/22/2020,Other,65-79,1235,0.096,29,0.017,0.015
6/22/2020,Other,80+,502,0.072,47,0.019,0.013
6/22/2020,Other,Total,18129,0.143,100,0.019,0.027
6/22/2020,white,0-17,734,0.077,0,0,0.292
6/22/2020,white,18-34,4622,0.124,7,0.121,0.302
6/22/2020,white,35-49,4334,0.135,24,0.091,0.325
6/22/2020,white,50-64,5284,0.188,163,0.188,0.43
6/22/2020,white,65-79,4070,0.316,550,0.318,0.54
6/22/2020,white,80+,2817,0.406,1043,0.423,0.572
6/22/2020,white,Total,21885,0.172,1787,0.332,0.366
6/21/2020,Asian,0-17,234,0.025,0,0,0.13
6/21/2020,Asian,18-34,2144,0.059,4,0.069,0.151
6/21/2020,Asian,35-49,2485,0.08,22,0.083,0.179
6/21/2020,Asian,50-64,2540,0.092,81,0.094,0.167
6/21/2020,Asian,65-79,1347,0.106,206,0.12,0.172
6/21/2020,Asian,80+,1054,0.153,483,0.197,0.172
6/21/2020,Asian,Total,9815,0.078,796,0.148,0.157
6/21/2020,Black,0-17,157,0.017,0,0,0.054
6/21/2020,Black,18-34,1300,0.036,6,0.103,0.065
6/21/2020,Black,35-49,1202,0.038,20,0.076,0.059
6/21/2020,Black,50-64,1440,0.052,74,0.086,0.064
6/21/2020,Black,65-79,939,0.074,193,0.112,0.055
6/21/2020,Black,80+,532,0.077,209,0.085,0.048
6/21/2020,Black,Total,5573,0.045,502,0.094,0.06
6/21/2020,Latino,0-17,6328,0.683,0,0,0.479
6/21/2020,Latino,18-34,22770,0.624,39,0.672,0.45
6/21/2020,Latino,35-49,19046,0.606,193,0.731,0.415
6/21/2020,Latino,50-64,15044,0.543,528,0.613,0.322
6/21/2020,Latino,65-79,5200,0.41,747,0.433,0.218
6/21/2020,Latino,80+,2004,0.292,674,0.275,0.196
6/21/2020,Latino,Total,70439,0.566,2182,0.407,0.389
6/21/2020,Other,0-17,1840,0.199,0,0,0.044
6/21/2020,Other,18-34,5753,0.158,2,0.034,0.032
6/21/2020,Other,35-49,4405,0.14,5,0.019,0.021
6/21/2020,Other,50-64,3459,0.125,16,0.019,0.017
6/21/2020,Other,65-79,1177,0.093,30,0.018,0.015
6/21/2020,Other,80+,481,0.07,47,0.019,0.013
6/21/2020,Other,Total,17118,0.137,100,0.019,0.027
6/21/2020,white,0-17,702,0.076,0,0,0.292
6/21/2020,white,18-34,4516,0.124,7,0.121,0.302
6/21/2020,white,35-49,4269,0.136,24,0.091,0.325
6/21/2020,white,50-64,5214,0.188,163,0.189,0.43
6/21/2020,white,65-79,4030,0.317,550,0.319,0.54
6/21/2020,white,80+,2794,0.407,1040,0.424,0.572
6/21/2020,white,Total,21547,0.173,1784,0.333,0.366
6/20/2020,Asian,0-17,229,0.026,0,0,0.13
6/20/2020,Asian,18-34,2119,0.06,4,0.069,0.151
6/20/2020,Asian,35-49,2464,0.08,22,0.084,0.179
6/20/2020,Asian,50-64,2520,0.093,81,0.095,0.167
6/20/2020,Asian,65-79,1343,0.107,206,0.12,0.172
6/20/2020,Asian,80+,1050,0.154,483,0.197,0.172
6/20/2020,Asian,Total,9737,0.08,796,0.149,0.157
6/20/2020,Black,0-17,146,0.016,0,0,0.054
6/20/2020,Black,18-34,1273,0.036,6,0.103,0.065
6/20/2020,Black,35-49,1174,0.038,20,0.076,0.059
6/20/2020,Black,50-64,1426,0.052,74,0.087,0.064
6/20/2020,Black,65-79,933,0.074,192,0.112,0.055
6/20/2020,Black,80+,530,0.078,209,0.085,0.048
6/20/2020,Black,Total,5485,0.045,501,0.094,0.06
6/20/2020,Latino,0-17,6195,0.688,0,0,0.479
6/20/2020,Latino,18-34,22418,0.628,39,0.672,0.45
6/20/2020,Latino,35-49,18767,0.61,192,0.73,0.415
6/20/2020,Latino,50-64,14843,0.544,522,0.611,0.322
6/20/2020,Latino,65-79,5129,0.409,745,0.433,0.218
6/20/2020,Latino,80+,1987,0.292,671,0.274,0.196
6/20/2020,Latino,Total,69392,0.568,2170,0.406,0.389
6/20/2020,Other,0-17,1769,0.197,0,0,0.044
6/20/2020,Other,18-34,5489,0.154,2,0.034,0.032
6/20/2020,Other,35-49,4200,0.136,5,0.019,0.021
6/20/2020,Other,50-64,3349,0.123,15,0.018,0.017
6/20/2020,Other,65-79,1152,0.092,30,0.018,0.015
6/20/2020,Other,80+,472,0.069,47,0.019,0.013
6/20/2020,Other,Total,16434,0.134,99,0.019,0.027
6/20/2020,white,0-17,668,0.074,0,0,0.292
6/20/2020,white,18-34,4403,0.123,7,0.121,0.302
6/20/2020,white,35-49,4182,0.136,24,0.091,0.325
6/20/2020,white,50-64,5137,0.188,163,0.191,0.43
6/20/2020,white,65-79,3990,0.318,547,0.318,0.54
6/20/2020,white,80+,2774,0.407,1038,0.424,0.572
6/20/2020,white,Total,21177,0.173,1779,0.333,0.366
6/19/2020,Asian,0-17,221,0.026,0,0,0.13
